bookmark_count,favorite_count,favourites_count,follower_count,following_count,friends,is_blue_verified,is_hateful,listed_count,number_of_tweets,quote_count,reply_count,retweet_count,source,tweet_id,user_id,views
0,0,239,4,3,3,false,1,0,666,0,0,0,"",1284988919189172224,168098362,0
0,248,13623,5,52,52,false,1,0,559,0,1,4,"",1269664155373625349,1181541300161728512,0
0,7,61868,207,191,190,false,1,3,5486,0,0,2,Twitter for iPhone,1247594289468768259,2569300413,0
0,2,66558,1973,1776,1813,false,1,16,88022,0,1,0,"",1279371609250435072,1123244527358291968,0
20,2055,7029,127465,442,442,false,1,687,19004,38,34,660,Twitter for iPhone,1275200187846156290,2940882906,0
0,0,168334,4884,997,996,false,1,0,96671,0,1,0,"",1285380772455579648,2745575010,0
0,8,3032,106,122,122,false,1,0,310,0,1,1,Twitter for iPhone,1283541546009149440,1147655920362541058,0
0,0,12590,665,898,899,false,1,1,4016,0,0,0,"",1271566013528772610,1244636684807032838,0
0,2,73499,1280,3075,3072,false,1,2,42063,0,0,0,"",1281873548676526089,597465903,0
0,88,56886,213420,681,681,true,1,415,16888,0,3,15,"",1283763078769737728,1124022135335325696,0
2,15,1890,2566,761,760,false,1,21,2190,0,1,12,Twitter for iPhone,1259544285940273152,1244351482046054401,0
0,16,7200,3093,1674,1673,false,1,49,5826,1,4,4,Twitter for iPhone,1286440938106163203,833871911272722433,0
0,1,7971,443,530,532,false,1,2,3607,0,0,0,Twitter for iPhone,1249470507050819593,3829249756,0
0,1,120234,516,443,443,false,1,2,51395,0,0,0,"",1279920830424715264,344967734,0
0,1,19160,280,478,478,false,1,0,12869,0,0,0,"",1270090476776030208,1716958159,0
0,1,1750,1594,520,520,false,1,0,5995,0,0,1,Twitter for iPhone,1281371518094708736,701353100,0
0,2,43628,6704,2454,2448,false,1,429,574170,0,0,4,TweetDeck,1274490395213193216,373149557,0
0,0,9546,18103,8370,8366,false,1,0,199359,0,0,0,Twitter Web App,1271587791110053890,100252452,0
0,0,89882,20608,1108,1105,true,1,41,109054,0,0,0,"",1264241889265451008,1104625694225645574,0
0,11,11889,308,1276,1275,false,1,1,3439,0,0,1,"",1271944302340509697,805555499336945664,0
0,14,96581,30334,4301,4304,false,1,225,75924,1,0,7,Twitter for iPhone,1264975038996000768,972521408264835072,0
0,0,1681,409,1752,1752,false,1,9,8632,0,0,0,Twitter for iPhone,1251794427582066691,19953652,0
0,0,551,56,41,44,false,2,0,611,0,0,0,"",1270448028525060097,1270443878999486465,0
0,59,9056,8100,775,775,false,1,0,6119,1,3,10,Twitter for Android,1272679587336474629,233416255,0
0,4,17611,390,370,371,false,1,1,4373,0,0,0,Twitter for iPhone,1267606571699384322,1040877572,0
0,0,8767,68,317,317,false,1,2,6741,0,0,0,"",1282511072549888000,1241875254005432329,0
0,3,2347,24,273,274,false,1,0,626,0,0,0,"",1286450496329285632,773036078,0
0,17,716,9,38,38,false,1,0,576,2,1,4,Twitter for iPhone,1267238046971420672,1260738670761574400,0
0,4,5311,3282,1274,1272,false,1,47,6310,0,0,1,"",1285361821822541826,95777089,0
0,0,8326,163,1023,1033,false,1,7,17828,0,0,0,"",1284108974187589632,234501983,0
0,0,1473,1515,378,377,false,1,22,3558,0,0,0,Buffer App,1264593458343395328,2292620222,0
0,0,9214,207,150,149,false,2,2,6415,0,0,0,"",1271579667917504514,1095967166812192768,0
0,0,14576,414,360,358,false,1,2,6890,0,0,0,"",1283907542788247554,3254355022,0
0,5,88026,882,157,156,false,1,9,29039,0,1,0,Twitter for iPhone,1259161544358756353,478067817,0
0,0,26357,1094,881,881,false,1,0,89434,0,0,0,Twitter for Android,1268330278361206786,21972462,0
0,6,62274,4312,3737,3738,false,1,13,56766,1,2,12,Twitter Web App,1245983518087233536,999589576665526272,0
0,0,16687,2090,1736,1735,false,1,15,4130,1,0,0,Twitter for iPhone,1272315486991265794,27820225,0
0,0,17232,1005,802,804,false,1,1,58896,0,0,0,Twitter for iPhone,1251620657831559168,161075477,0
0,5,4350,70,215,214,false,1,1,4235,0,1,0,"",1275364888232308737,103238163,0
0,0,76,96,194,194,false,1,0,4020,0,0,0,"",1273249243600429056,864549655639719939,0
0,0,16978,177,429,429,false,1,1,12115,0,0,0,"",1271341186238697473,806474391588466688,0
0,0,2115,172,609,608,false,1,1,1216,0,0,0,"",1258913671973089285,2962190704,0
2,160,48871,1537,69,69,false,1,28,47498,4,1,52,Twitter for iPhone,1265838699067183106,1033077275770740736,0
0,32,158643,7337,747,747,false,1,54,188618,0,1,1,"",1269742084988325888,191752561,0
0,0,1449,129,466,465,false,1,0,3510,0,0,0,"",1271856658227093505,3038782383,0
0,1,2699,82,125,124,false,1,1,1683,0,0,0,Twitter for iPhone,1247283634085781506,200749672,0
0,3,20751,3395,4765,4773,false,1,44,15577,0,1,0,"",1276909974258692099,18214546,0
0,1,148597,347,1824,1827,false,1,5,45673,0,0,0,"",1251716684215287808,29109038,0
0,5,2464,44,294,294,false,1,1,3392,0,0,0,"",1285972170665951235,1278536234311147527,0
0,0,136002,630,964,964,false,1,8,27463,0,0,1,Twitter for iPhone,1257796736447381510,36449066,0
0,3,408385,1969,2058,2054,false,1,5,65593,0,0,0,"",1273816766658027521,781873061511499777,0
0,0,1880,431486,1,1,true,1,3519,72344,0,0,0,Twitter for iPhone,1275213278151675905,1247223374717296647,0
1,106,88331,3107,51,51,false,1,0,52368,3,1,32,Twitter for iPhone,1258137983523282944,2216955074,0
0,0,4046,2849,1698,1694,true,1,42,7957,0,0,0,Twitter for Android,1263144198603182081,2934747179,0
0,1,328241,2738,3304,3300,false,1,7,18241,0,0,0,"",1283809134396178433,1182734748726284289,0
4,217,2105,1261774,340,247,true,1,7563,117669,2,5,66,Twitter Web App,1272593949744644097,110396781,0
0,2,1484,55,304,304,false,1,0,423,0,1,0,"",1273221646854348800,1097279043047702528,0
0,2,1062,54,393,393,false,1,1,2291,0,1,0,Twitter Web App,1248765114498420738,1243955854346350593,0
0,2,19298,275,426,426,false,1,6,16348,0,0,0,"",1266157186230767617,1579540369,0
0,1,3310,160,531,530,false,1,2,3623,0,1,4,Twitter for Android,1264725614726086656,1252049126587539456,0
0,1,25433,2263,1584,1580,false,1,13,9173,0,0,0,"",1269088879585492993,1027032041148309504,0
0,2,53879,798,1116,1115,false,1,12,17194,0,1,0,"",1267541968915238912,2463655197,0
0,11,89203,1585,2010,2018,false,1,12,69636,0,0,0,"",1272172312410886144,82855734,0
0,1,52138,751,982,983,false,1,0,17403,0,0,0,"",1282850305760276481,1019050759596511232,0
0,1,1537,4293,1172,1169,false,1,84,6900,0,0,0,Twitter Web App,1260238447274582016,1836112668,0
0,11,3683,438,178,178,false,1,1,9657,0,1,3,Twitter for iPhone,1280638971337494529,475345902,0
0,1,64828,715,4821,4816,false,1,10,26086,0,0,0,Twitter Web App,1273401224533020673,223659845,0
0,27,2052,665,462,461,true,1,9,825,0,5,2,Twitter for iPhone,1258847174328279041,265632241,0
0,0,1466,4726,4,4,false,1,24,521387,0,0,0,erased4126563_E65sErOSVV,1249852399872888836,1133255809,0
0,1,13724,386,436,436,false,1,1,7382,0,0,0,"",1275670951439581184,1222392888,0
0,2,44359,4306,4931,5376,true,1,0,21072,0,2,0,"",1278208457749848064,61941636,0
